backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),219.3072638394828,327.41072288122166,127.61081665645166,212.52482305937602,2826.362955993248,3298.8318424151057,WHP_min,155.0966653372164,150.722009445237,97.17940041943012,0,5.0
fixed 5 psi (submitted),239.64160627259906,323.43571506229137,144.4214055511835,206.3394259463717,2925.505781174359,3263.022230832234,WHP_min,136.47984990104092,131.07242488930785,96.03793159528392,0,5.0
fixed 5 psi (submitted),222.50512541483195,323.6746387111544,156.9678551886446,204.83430087109747,2909.327836549211,3283.79926628135,WHP_min,152.3614522642547,147.0987681998404,96.54592156598329,0,5.0
fixed 5 psi (submitted),201.73847702907415,312.5234433661314,146.65639934520658,201.68920498310837,2831.3895601278614,3250.0451035160386,FLP_min,168.7165487669805,162.15475166783042,96.110756682077,0,5.0000000000000036
fixed 5 psi (submitted),224.66284358084394,325.5562773670277,130.5572671648079,210.55678653900196,2914.2206176789277,3397.274248430769,WHP_min,150.532608989443,145.8294270271996,96.8756391098136,0,5.0
fixed 5 psi (submitted),230.6274337421236,312.72319456332036,164.18754834038626,214.60976607278533,2850.735395840116,3363.016980787586,FLP_min,143.80462672379207,135.0476855686544,93.91052892063253,0,5.000000000000002
fixed 5 psi (submitted),234.83026006038978,314.2844121590626,159.5514496438834,210.5235284909281,2808.7848511949114,3365.147840497521,WHP_min,141.17501077567357,136.09400546944892,96.40091735902301,0,5.000000000000002
fixed 5 psi (submitted),214.24108715156996,302.8153546029992,140.65521705218657,201.10611520096708,2845.233392643399,3314.2809412214388,WHP_min,159.28100234620945,155.03808438340232,97.33620588751394,0,5.0
fixed 5 psi (submitted),205.42424657822684,317.58901060772354,129.90762640704293,214.00653364935263,2886.8100896150067,3373.5672037589156,BHP_min,157.69951502984446,156.19335044416098,99.04491489057628,0,5.0
fixed 5 psi (submitted),233.80807393582558,317.4996014077043,126.60872883618403,210.67230236176636,2863.805170852672,3373.89358332556,WHP_min,142.1985922963328,137.19152729947896,96.47882238776356,0,5.0000000000000036
fixed 5 psi (submitted),211.92962840846064,324.3973228609258,164.88041172289968,205.2583221705183,2784.204288004135,3308.7512199180856,FLP_min,142.62296992934978,133.53743420106167,93.62968269922527,0,5.0
fixed 5 psi (submitted),225.1829993919406,313.1768679557492,148.53520437716858,201.91037707882506,2895.224702186796,3292.012360279975,WHP_min,150.05137187484237,145.41089629483255,96.90740876139377,0,5.0000000000000036
fixed 5 psi (submitted),191.4370536242411,325.8884999574958,147.57651284482375,207.26748413519377,2929.764753049697,3262.9018654091506,BHP_min,147.78268470343426,146.3915367054875,99.05865291272895,0,5.0
fixed 5 psi (submitted),221.76926702045355,309.83946869293806,132.01638999940323,210.1219797495092,2822.564390172587,3299.4843748740905,WHP_min,152.99170014267622,148.4510172537652,97.03207240348561,0,5.0
fixed 5 psi (submitted),236.62066591375128,305.9789502203846,145.4869463135094,200.36019801007023,2782.673618227391,3382.5128100450343,WHP_min,139.45307835273132,134.33183703105001,96.32762404231215,0,5.0000000000000036
fixed 5 psi (submitted),227.35485289516058,316.70506470161973,133.8981358396544,208.3662137393196,2752.4293052227226,3356.949044640688,WHP_min,148.10910460616736,143.38128185504476,96.8078783787842,0,5.0
fixed 5 psi (submitted),223.0050408338237,319.38135070699064,149.45354737100806,201.10574648936807,2799.281193810195,3336.15670721469,WHP_min,151.9660136383162,147.46968729215158,97.04122899685582,0,5.0
fixed 5 psi (submitted),203.65120596173387,329.76069685744335,161.94981429500726,202.28011853783806,2867.9921185299063,3354.4322659155187,FLP_min,147.37356606863167,139.1010920968455,94.38673149299129,0,5.0
fixed 5 psi (submitted),188.19260485805316,309.3778694130351,153.63671387701976,213.51662140134255,2818.348530041227,3285.841556753692,FLP_min,159.58000543959602,152.41723126633818,95.51148393965366,0,5.0
fixed 5 psi (submitted),229.30752016381288,317.54948040677033,144.0635368682308,203.8422503214184,2764.5316697296644,3252.6837131345465,WHP_min,146.38670822875943,141.51429551905863,96.67154704914421,0,5.0
fixed 5 psi (submitted),214.7982108338457,305.73330820380227,164.02131913707282,201.61215842579222,2840.4177576654215,3309.198969560644,FLP_min,144.0565759384031,135.38898633809268,93.98320448487087,0,5.0
fixed 5 psi (submitted),193.93868851713185,322.46267175011803,150.74819048321243,210.88636527577805,2766.561715179299,3302.9115123544607,FLP_min,163.47568392564924,156.40379295907798,95.67404105812602,0,5.0
fixed 5 psi (submitted),211.1899844600539,312.8016343119072,126.62470247490981,202.9104118235119,2939.0049296609254,3274.3854587129977,BHP_min,145.6419412398605,144.28200869122574,99.06624936672942,0,5.0
fixed 5 psi (submitted),231.1231399477665,324.6641147719332,140.65175028312433,207.00175279766395,2914.800361529984,3352.102948835532,WHP_min,144.7262667336088,139.7481905435488,96.56035058292291,0,5.000000000000002
fixed 5 psi (submitted),230.21662418574425,322.7278975749637,152.65085917762417,213.69461159010316,2914.5614266189177,3276.859403137449,WHP_min,145.55894402469266,140.67467755319726,96.64447519578952,0,5.0
fixed 5 psi (submitted),224.89345650487468,302.6004396934363,142.03424961176086,205.95127830730138,2790.433618795097,3390.6857662953985,WHP_min,150.2922059479817,145.65588476701416,96.91512866437516,0,5.0
fixed 5 psi (submitted),185.68660070167002,300.1469824496573,137.91683214655913,214.86117077361834,2802.939025677688,3374.6041398276598,BHP_min,177.08296555207758,173.09621976453843,97.74865652655524,0,5.0
fixed 5 psi (submitted),190.38681822122794,317.59135064395133,163.33637340717567,210.7476985184871,2946.1015950356973,3336.183497363356,BHP_min,143.97264231708976,136.80156617145545,95.01913972667077,0,5.0
fixed 5 psi (submitted),239.00008239320528,325.11141095160013,156.12992904407713,213.3273483036725,2876.298303452323,3303.4546819564857,WHP_min,137.09672164654324,131.74768095138182,96.09834529161677,0,5.0
fixed 5 psi (submitted),211.6969464034196,306.7950118704709,156.1017649552682,202.551177524223,2865.439589797318,3330.384839436867,FLP_min,156.17482842994536,148.54206131038453,95.11267776229084,0,5.0
fixed 5 psi (submitted),220.31416820866144,322.8145979599575,129.39311544255636,209.37411442501974,2832.7911764930386,3342.130215350193,WHP_min,154.24318675968084,149.85419273240478,97.1544973107212,0,5.0
fixed 5 psi (submitted),221.6390725887897,317.56438757281865,154.3154430743486,207.8003788580697,2842.5735618258545,3293.0153298172804,WHP_min,153.14879157619242,148.62380987996218,97.04536898420184,0,5.0
fixed 5 psi (submitted),193.7491001998024,320.85906318275454,152.82845411249832,202.93223769464893,2944.3674833222226,3350.6726170434094,BHP_min,144.39181627322412,143.14254364906702,99.13480371921275,0,5.0
