violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,trial,scenario,gain_Q,gain_BHP,tau_Q,tau_BHP,worst_gain_err,worst_tau_err
0,0.0,164.87405316993292,-0.2394502379839878,5.0,25,C,0.891808981769599,0.817064439074083,1.0776878925178592,0.5722652655298768,0.1874953705633291,0.4624230931243809
0,0.0,150.07868538067936,0.07833510327205317,5.0,26,B,0.9999836941951711,0.9328400390707116,0.5628954984549713,0.8950917083579676,0.19366395571520478,0.43710450154502867
0,0.0,164.87094996008872,-0.2281769647339047,5.0,26,C,0.9999836941951711,0.9328400390707116,0.5628954984549713,0.8950917083579676,0.19366395571520478,0.43710450154502867
0,0.0,149.96398112086436,-0.04212928916021497,5.0,27,B,1.2241135786724393,1.1595502706433234,1.415323960111766,0.5703262535692181,0.24757316018453146,0.42967374643078193
7,0.3425733264889459,164.73496641843647,-0.08133018880934628,5.0,27,C,1.2241135786724393,1.1595502706433234,1.415323960111766,0.5703262535692181,0.24757316018453146,0.42967374643078193
0,0.0,149.90023359078796,-0.10234099821329323,5.0,28,B,1.2213125766083917,0.7981260497178881,1.1737334377272737,0.9603553288673248,0.22131257660839165,0.21087986326594477
0,0.0,165.05377269902903,-0.29071025894808145,5.0,28,C,1.2213125766083917,0.7981260497178881,1.1737334377272737,0.9603553288673248,0.22131257660839165,0.21087986326594477
0,0.0,149.80633397968788,-0.1967000173703468,5.0,29,B,1.0044819163267162,1.0472551019941014,0.6972349472958685,1.4886953333678197,0.24435271468597164,0.4886953333678197
0,0.0,164.34318090528498,-0.2684668380040307,5.0,29,C,1.0044819163267162,1.0472551019941014,0.6972349472958685,1.4886953333678197,0.24435271468597164,0.4886953333678197
0,0.0,149.9437048488752,-0.05589819901587134,5.0,30,B,0.8097659948054312,0.9887562979451612,1.3135340641796356,1.413690762707389,0.27781148407456024,0.4136907627073889
0,0.0,164.50808121661242,-0.10302900222171729,5.0,30,C,0.8097659948054312,0.9887562979451612,1.3135340641796356,1.413690762707389,0.27781148407456024,0.4136907627073889
0,0.0,150.0560804581896,0.06055619098830789,5.0,31,B,0.7391622498467748,0.8953273696604227,1.4940267712099842,0.9226283964247812,0.2608377501532252,0.4940267712099842
0,0.0,164.85451325105123,-0.10989926661852678,5.0,31,C,0.7391622498467748,0.8953273696604227,1.4940267712099842,0.9226283964247812,0.2608377501532252,0.4940267712099842
0,0.0,149.9007674802209,-0.0946782506790953,5.0,32,B,1.2265173435230778,1.1734927742230876,1.2991963797161148,0.7253284418756651,0.2479110766710635,0.2991963797161148
0,0.0,164.8554701707571,-0.22835826935582304,5.0,32,C,1.2265173435230778,1.1734927742230876,1.2991963797161148,0.7253284418756651,0.2479110766710635,0.2991963797161148
0,0.0,150.05148185435215,0.0439364137239977,5.0,33,B,0.9173847702907414,0.7675681993243343,0.9069478006393061,1.351875912234257,0.2324318006756657,0.4996993098930771
0,0.0,164.88258007630384,-0.045765337170877274,5.0,33,C,0.9173847702907414,0.7675681993243343,0.9069478006393061,1.351875912234257,0.2324318006756657,0.4996993098930771
0,0.0,150.08437229895918,0.08634674456763491,5.0,34,B,0.7833590074721185,1.2890969937230763,1.3437905623687267,1.4739844048523552,0.2890969937230763,0.4796887085096566
0,0.0,163.5363477944988,-0.02952859220002324,5.0,34,C,0.7833590074721185,1.2890969937230763,1.3437905623687267,1.4739844048523552,0.2890969937230763,0.4796887085096566
0,0.0,149.85641463030436,-0.13781035960579402,5.0,35,B,1.0022061875203474,0.9856882431812518,1.363786241097085,1.2676522699834736,0.24830260060389775,0.3637862410970849
0,0.0,164.81563686332018,-0.3229453748643891,5.0,35,C,1.0022061875203474,0.9856882431812518,1.363786241097085,1.2676522699834736,0.24830260060389775,0.3637862410970849
0,0.0,149.7920305046438,-0.20458768175186037,5.0,36,B,1.0424108715156994,0.7442446080386835,0.9761669632169956,1.0863003535907843,0.25575539196131647,0.08630035359078425
